anio,mes,ipc_factor,peso_muestra,descripcion,unidad,grupo_unidad,cantidad,precio_unitario,total
2023,11,0.902537,1.0,Instalación de faenas,gl,global,1.1,102796414.0,113076055.4
2023,11,0.902537,1.0,Movilización y Desmovilización,gl,global,1.0,1794448142.0,1794448142.0
2023,11,0.902537,1.0,Excavación en Zanja en Roca No Ripiable,m3,volumetrico,10.9,65505.0,714004.5
2023,11,0.902537,1.0,Excavación en Zanja Suelo Común sin Agotamiento,m3,volumetrico,7287.3,7019.0,51149558.7
2023,11,0.902537,1.0,Material Dren,m3,volumetrico,2038.6,14251.0,29052088.6
2023,11,0.902537,1.0,Colocación Material Filtro,m3,volumetrico,1989.8,29560.0,58818488.0
2023,11,0.902537,1.0,Relleno Material de Transición,m3,volumetrico,2660.8,24035.0,63952328.0
2023,11,0.902537,1.0,Relleno Material Filtro Alfombra,m3,volumetrico,1407.5,26018.0,36620335.0
2023,11,0.902537,1.0,Suministro e instalación de geotextil NW >450 g/m2 para tapado Dren incluye anclaje,m2,area,2268.8,4735.0,10742768.0
2023,11,0.902537,1.0,Excavación en Zanja en Roca No Ripiable,m3,volumetrico,5.4,63088.0,340675.2
2023,11,0.902537,1.0,Excavación en Zanja Suelo Común sin Agotamiento,m3,volumetrico,2448.9,7663.0,18765920.7
2023,11,0.902537,1.0,Colocación Material Filtro,m3,volumetrico,1060.3,26988.0,28615376.4
2023,11,0.902537,1.0,Relleno Material de Transición,m3,volumetrico,1215.0,34603.0,42042645.0
2023,11,0.902537,1.0,Relleno Material Filtro Alfombra,m3,volumetrico,1393.5,19386.0,27014391.0
2023,11,0.902537,1.0,Relleno Material  Alfombra Drenante,m3,volumetrico,6821.2,19244.0,131267172.8
2023,11,0.902537,1.0,Escarpe,m3,volumetrico,4938.2,5402.0,26676156.4
2023,11,0.902537,1.0,"Relleno granular túnel, material dren",m3,volumetrico,1398.7,27948.0,39090867.6
2023,11,0.902537,1.0,Suministro e instalación de geotextil 450 g/m2 para tapado Dren incluye anclaje,m2,area,909.9,5520.0,5022648.0
2023,11,0.902537,1.0,Tapón Hormigón Bombeado G30,m3,volumetrico,54.3,793435.0,43083520.5
2023,11,0.902537,1.0,Agotamiento túnel evacuador,mes,otros,4.5,34038350.0,153172575.0
2023,11,0.902537,1.0,Colocación Material Filtro,m3,volumetrico,720.1,27395.0,19727139.5
2023,11,0.902537,1.0,Relleno Material de Transición,m3,volumetrico,1601.7,29779.0,47697024.3
2023,11,0.902537,1.0,Relleno Material Dren,m3,volumetrico,2229.2,15681.0,34956085.2
2023,11,0.902537,1.0,Relleno Material Filtro Alfombra,m3,volumetrico,1240.3,23959.0,29716347.7
2023,11,0.902537,1.0,Relleno masivo con compactacion controlada,m3,volumetrico,112731.5,19314.0,2177296191.0
2023,11,0.902537,1.0,Relleno con compactacion contralada zanja colector,m3,volumetrico,4021.5,17782.0,71510313.0
2023,11,0.902537,1.0,Escarpe,m3,volumetrico,2910.3,5653.0,16451925.9
2023,11,0.902537,1.0,Excavación en Zanja en Roca Rippeable,m3,volumetrico,4601.9,45414.0,208990686.6
2023,11,0.902537,1.0,Excavación en Zanja Suelo Común sin Agotamiento,m3,volumetrico,26350.1,9635.0,253883213.5
2023,11,0.902537,1.0,Relleno con compactacion controlada,m3,volumetrico,1547.2,20240.0,31315328.0
2023,11,0.902537,1.0,Material Dren,m3,volumetrico,3977.3,16117.0,64102144.1
2023,11,0.902537,1.0,Colocación Material Filtro,m3,volumetrico,1699.5,29874.0,50770863.0
